GLOBALID,OBJECTID,Traffic Calming ID,AssetID,Traffic Calming Category,Asset Code,Asset Owner,General Location,Install Year,Material,Asset Description,Asset Status,Location,Maintained By,Add Date,Modified Date,Source Date,Data Source,Source Accuracy,x,y
c8510d1e-2012-4de4-88d7-2bffd5210a74,255,TRCLM1539,TRCLM1539,VERTI,SPDTBL,HRM,ROW,2024,ASPH,,INS,Milsom St,HRM,5/24/2023 9:58:09 PM,12/13/2024 12:41:51 AM,,,,-7084004.9876,5565188.6171
6baae72c-2476-4b8f-97d0-c9fdd2308010,257,TRCLM26,TRCLM26,VERTI,SPDHMP,HRM,ROW,,ASPH,,INS,SHORE DR,HRM,10/7/2021 3:57:03 PM,10/7/2021 4:01:25 PM,,Traffic Management,,-7086496.4077,5578619.3489
0e341c2f-b148-412e-8737-20786acf19a4,258,TRCLM709,TRCLM709,VERTI,SPDTBL,HRM,ROW,2022,ASPH,,INS,ARKLOW DR,HRM,11/19/2021 10:45:14 PM,11/10/2022 9:41:36 PM,4/13/2022 3:00:00 AM,Traffic Management,,-7066986.3793,5571154.0898
92251a98-aac5-4081-b72d-c3a224b18894,260,TRCLM1486,TRCLM1486,VERTI,SPDTBL,HRM,ROW,2024,ASPH,,INS,Frederick Ave,HRM,5/15/2023 8:47:18 PM,12/20/2024 8:32:22 PM,,,,-7084108.4462,5567254.269
a5f9b4b2-36f5-43ad-8c59-014134043e70,261,TRCLM1284,TRCLM1284,VERTI,SPDTBL,HRM,ROW,2023,ASPH,,INS,Ridge Valley Road,HRM,8/2/2022 3:33:37 PM,9/26/2024 10:03:47 PM,,,,-7082067.3423,5563044.3715
2a329c44-ad69-4927-a7c0-8302c7c9bce3,262,TRCLM194,TRCLM194,HORIZ,BMPOUT,HRM,ROW,2021,CONC,,INS,PORTLAND HILLS DR,HRM,10/7/2021 3:57:03 PM,10/7/2021 3:57:03 PM,,Traffic Management,,-7069644.9682,5568686.6173
f89b3030-272a-4a49-96c9-44ef40cbad3c,263,TRCLM556,TRCLM556,VERTI,SPDTBL,HRM,ROW,2021,ASPH,,INS,PINE GROVE DR,HRM,11/18/2021 4:57:08 PM,11/18/2021 4:57:53 PM,11/18/2021 4:00:00 AM,Traffic Management,,-7081731.0472,5560742.0467
67d1834a-aad0-4c47-aa08-46aaed766cdf,264,TRCLM17,TRCLM17,VERTI,SPDHMP,HRM,ROW,,ASPH,,INS,MCPHERSON RD,HRM,10/7/2021 3:57:03 PM,10/7/2021 4:01:25 PM,,Traffic Management,,-7081444.3945,5592947.3914
bcf9214c-82e2-46b2-80eb-a31d054934b2,266,TRCLM1622,TRCLM1622,VERTI,SPDTBL,HRM,ROW,2024,ASPH,,INS,White Glove Terrace,HRM,6/22/2023 5:46:24 PM,12/13/2024 6:49:16 PM,,,,-7083794.3386,5565138.1684
0e80510a-1a73-4c01-b91e-8a7633a585a5,267,TRCLM506,TRCLM506,VERTI,SPDTBL,HRM,ROW,2021,ASPH,,INS,WINDSOR DR,HRM,11/16/2021 5:40:49 PM,11/16/2021 5:41:23 PM,11/16/2021 4:00:00 AM,Traffic Management,,-7106266.9959,5574477.769
